CMDLINE /usr/local/bin/python3 diffusion.py
FUNC __main__.evolve 103.4375 1737501794.1388 103.4375 1737501794.2041 1
FUNC __main__.evolve 103.4375 1737501794.2059 103.4375 1737501794.2718 1
FUNC __main__.evolve 103.4375 1737501794.2736 103.4375 1737501794.3388 1
FUNC __main__.evolve 103.4375 1737501794.3407 103.4375 1737501794.4063 1
FUNC __main__.evolve 103.4375 1737501794.4081 103.4375 1737501794.4734 1
FUNC __main__.evolve 103.4375 1737501794.4752 103.4375 1737501794.5406 1
FUNC __main__.evolve 103.4375 1737501794.5424 103.4531 1737501794.6079 1
FUNC __main__.evolve 103.4531 1737501794.6096 103.4531 1737501794.6749 1
FUNC __main__.evolve 103.4531 1737501794.6766 103.4531 1737501794.7415 1
FUNC __main__.evolve 103.4531 1737501794.7433 103.4531 1737501794.8088 1
FUNC __main__.evolve 103.4531 1737501794.8106 103.4531 1737501794.8761 1
FUNC __main__.evolve 103.4531 1737501794.8780 103.4531 1737501794.9433 1
FUNC __main__.evolve 103.4531 1737501794.9451 103.4531 1737501795.0132 1
FUNC __main__.evolve 103.4531 1737501795.0150 103.4531 1737501795.0803 1
FUNC __main__.evolve 103.4531 1737501795.0821 103.4531 1737501795.1474 1
FUNC __main__.evolve 103.4531 1737501795.1492 103.4531 1737501795.2145 1
FUNC __main__.evolve 103.4531 1737501795.2163 103.4531 1737501795.2815 1
FUNC __main__.evolve 103.4531 1737501795.2833 103.4531 1737501795.3490 1
FUNC __main__.evolve 103.4531 1737501795.3509 103.4531 1737501795.4161 1
FUNC __main__.evolve 103.4531 1737501795.4179 103.4531 1737501795.4830 1
FUNC __main__.evolve 103.4531 1737501795.4848 103.4531 1737501795.5498 1
FUNC __main__.evolve 103.4531 1737501795.5516 103.4531 1737501795.6169 1
FUNC __main__.evolve 103.4531 1737501795.6187 103.4531 1737501795.6839 1
FUNC __main__.evolve 103.4531 1737501795.6856 103.4531 1737501795.7509 1
FUNC __main__.evolve 103.4531 1737501795.7526 103.4531 1737501795.8180 1
FUNC __main__.evolve 103.4531 1737501795.8198 103.4531 1737501795.8852 1
FUNC __main__.evolve 103.4531 1737501795.8869 103.4531 1737501795.9520 1
FUNC __main__.evolve 103.4531 1737501795.9537 103.4531 1737501796.0192 1
FUNC __main__.evolve 103.4531 1737501796.0209 103.4531 1737501796.0861 1
FUNC __main__.evolve 103.4531 1737501796.0878 103.4531 1737501796.1531 1
FUNC __main__.evolve 103.4531 1737501796.1550 103.4531 1737501796.2204 1
FUNC __main__.evolve 103.4531 1737501796.2222 103.4531 1737501796.2873 1
FUNC __main__.evolve 103.4531 1737501796.2892 103.4531 1737501796.3549 1
FUNC __main__.evolve 103.4531 1737501796.3568 103.4531 1737501796.4225 1
FUNC __main__.evolve 103.4531 1737501796.4243 103.4531 1737501796.4897 1
FUNC __main__.evolve 103.4531 1737501796.4914 103.4531 1737501796.5567 1
FUNC __main__.evolve 103.4531 1737501796.5585 103.4531 1737501796.6240 1
FUNC __main__.evolve 103.4531 1737501796.6257 103.4531 1737501796.6908 1
FUNC __main__.evolve 103.4531 1737501796.6925 103.4531 1737501796.7578 1
FUNC __main__.evolve 103.4531 1737501796.7596 103.4531 1737501796.8248 1
FUNC __main__.evolve 103.4531 1737501796.8266 103.4531 1737501796.8922 1
FUNC __main__.evolve 103.4531 1737501796.8941 103.4531 1737501796.9590 1
FUNC __main__.evolve 103.4531 1737501796.9608 103.4688 1737501797.0262 1
FUNC __main__.evolve 103.4688 1737501797.0280 103.4688 1737501797.0931 1
FUNC __main__.evolve 103.4688 1737501797.0948 103.4688 1737501797.1602 1
FUNC __main__.evolve 103.4688 1737501797.1620 103.4688 1737501797.2276 1
FUNC __main__.evolve 103.4688 1737501797.2294 103.4688 1737501797.2948 1
FUNC __main__.evolve 103.4688 1737501797.2966 103.4688 1737501797.3620 1
FUNC __main__.evolve 103.4688 1737501797.3639 103.4688 1737501797.4296 1
FUNC __main__.evolve 103.4688 1737501797.4314 103.4688 1737501797.4967 1
FUNC __main__.evolve 103.4688 1737501797.4985 103.4688 1737501797.5640 1
FUNC __main__.evolve 103.4688 1737501797.5658 103.4688 1737501797.6313 1
FUNC __main__.evolve 103.4688 1737501797.6330 103.4688 1737501797.7015 1
FUNC __main__.evolve 103.4688 1737501797.7033 103.4688 1737501797.7682 1
FUNC __main__.evolve 103.4688 1737501797.7700 103.4688 1737501797.8352 1
FUNC __main__.evolve 103.4688 1737501797.8370 103.4688 1737501797.9018 1
FUNC __main__.evolve 103.4688 1737501797.9036 103.4688 1737501797.9688 1
FUNC __main__.evolve 103.4688 1737501797.9706 103.4688 1737501798.0361 1
FUNC __main__.evolve 103.4688 1737501798.0379 103.4688 1737501798.1032 1
FUNC __main__.evolve 103.4688 1737501798.1050 103.4688 1737501798.1704 1
FUNC __main__.evolve 103.4688 1737501798.1722 103.4688 1737501798.2374 1
